price,bed,bath,carport,surface_area(m2),building_area(m2),location
350000000.0,3,2,1,54.0,80.0,3
1300000000.0,5,3,1,125.0,150.0,3
1250000000.0,3,2,1,105.0,160.0,3
410000000.0,2,1,1,75.0,45.0,0
665000000.0,3,2,1,114.0,90.0,3
1200000000.0,3,3,1,80.0,100.0,3
2200000000.0,5,3,4,241.0,350.0,0
2100000000.0,4,3,3,154.0,95.0,3
399000000.0,2,1,1,83.0,45.0,0
3000000000.0,5,3,1,466.0,275.0,3
665000000.0,3,1,2,97.0,65.0,0
615000000.0,4,2,1,102.0,60.0,3
575000000.0,3,2,1,104.0,80.0,3
2000000000.0,11,9,1,221.0,350.0,3
2000000000.0,3,3,1,125.0,169.0,3
1650000000.0,1,2,11,351.0,270.0,3
1650000000.0,4,3,1,125.0,185.0,3
1400000000.0,3,2,1,133.0,105.0,3
1300000000.0,3,2,2,174.0,200.0,3
3600000000.0,5,5,3,416.0,350.0,0
1650000000.0,2,2,2,135.0,115.0,3
1790000000.0,4,3,2,119.0,160.0,4
2700000000.0,8,8,2,97.0,185.0,4
1700000000.0,3,2,1,118.0,70.0,0
1300000000.0,3,2,1,131.0,78.0,3
2170000000.0,4,3,2,200.0,135.0,3
900000000.0,4,2,4,204.0,100.0,4
1790000000.0,4,3,2,119.0,160.0,4
1470000000.0,4,3,1,146.0,146.0,3
685000000.0,3,2,2,120.0,77.0,3
1850000000.0,3,2,2,116.0,115.0,3
2300000000.0,3,3,2,126.0,130.0,3
2750000000.0,4,4,2,150.0,190.0,3
800000000.0,4,2,1,107.0,165.0,0
825000000.0,3,2,1,102.0,120.0,4
825000000.0,3,2,1,125.0,79.0,3
1250000000.0,3,2,1,135.0,77.0,4
1800000000.0,3,2,1,112.0,152.0,0
1100000000.0,3,2,2,213.0,80.0,3
1700000000.0,4,5,1,111.0,180.0,3
640000000.0,2,1,1,95.0,50.0,3
2049999999.0,4,4,2,160.0,215.0,3
1950000000.0,3,2,1,170.0,130.0,4
235000000.0,2,1,1,70.0,30.0,3
1800000000.0,20,20,2,217.0,250.0,3
525000000.0,3,1,1,112.0,75.0,0
925000000.0,2,1,1,101.0,65.0,3
520000000.0,2,1,1,90.0,50.0,4
650000000.0,3,2,1,126.0,80.0,0
1900000000.0,4,4,1,110.0,170.0,3
9987999999.999989,26,28,1,999.7599999999998,961.5999999999917,3
575000000.0,3,3,1,80.0,120.0,3
975000000.0,3,2,1,128.0,100.0,3
435000000.0,2,1,1,101.0,45.0,3
550000000.0,3,2,1,123.0,62.0,3
270000000.0,2,1,1,61.0,30.0,3
4300000000.0,5,2,5,782.0,161.0,4
475000000.0,3,1,1,93.0,60.0,0
580000000.0,2,1,1,66.0,45.0,4
975000000.0,3,2,1,121.0,80.0,3
675000000.0,2,1,1,85.0,45.0,4
765000000.0,3,2,1,118.0,80.0,3
4500000000.0,3,3,8,584.0,150.0,3
890000000.0,3,2,1,85.0,70.0,0
